trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9588697805724845}",30,0,-203.08325979600986,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9579113900670306}",30,0,-116.17839955787149,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9569539574730467}",20,0,-40.753569741565286,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9559974818330998}",25,0,-9.055916644063515,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9550419621907147}",20,0,-82.83141723506604,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.9540873975903712}",35,24,-43.92297145992029,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.9531337870775047}",20,0,-91.9307063353987,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.9521811296985049}",20,0,-122.53438015115002,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-154.6431008116864,"{0: 15, 1: 1, 2: 3, 3: 5, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.950278670532427}",25,0,-118.92431471413867,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.9493288668428895}",20,14,-19.794502688903798,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.9483800124822982}",35,23,-98.87162425492052,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.9474321065017983}",25,0,-77.16970355194078,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.9464851479534838}",30,0,-215.9198150622482,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
56,False,"{'a': 0.01, 'e': 0.9455391358903963}",20,0,-114.04577785946157,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.9445940693665233}",20,0,-52.68391707879264,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.9436499474367985}",25,10,-47.61163757248417,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.9427067691570997}",20,0,-152.96119952492597,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,5,-151.9750806024648,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",1
61,False,"{'a': 0.01, 'e': 0.9408232397760097}",30,0,-214.19772933847574,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
62,False,"{'a': 0.01, 'e': 0.9398828867910889}",25,0,-253.74734000226223,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 4}",0
63,False,"{'a': 0.01, 'e': 0.9389434736891332}",25,0,-89.9411630482745,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.9380049995307295}",20,0,-122.64273837904639,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9370674633774034}",25,0,-84.10946862071673,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.9361308642916188}",25,0,-126.968672503088,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.9351952013367766}",25,0,-166.89375921306197,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.9342604735772135}",35,0,-133.57236819493775,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.933326680078202}",25,0,-133.98661925281363,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,10,-78.93839971089976,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.9314618921275921}",20,10,-17.294271492257366,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.9305308958112057}",20,0,-194.29655425514025,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.9296008300257927}",25,0,-189.0324544234493,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
74,False,"{'a': 0.01, 'e': 0.9286716938412872}",20,0,-171.19777194180526,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.9277434863285529}",20,0,-76.78071927265731,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.9268162065593822}",30,0,-53.71971021289332,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.9258898536064953}",25,0,-48.08589889296618,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.9249644265435393}",20,0,-116.30669223381526,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.9240399244450868}",20,0,-143.18707210121417,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-161.5660479029457,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.922193691444608}",25,0,-164.0139487271798,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.9212719586963487}",25,0,-89.6570883724732,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.9203511472201247}",20,0,-53.05692397923885,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.9194312560951247}",25,0,-9.367131034881497,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.9185122844014574}",20,0,-92.20123939463758,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.9175942312201509}",20,0,-49.024094791955456,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.9166770956331523}",20,0,-25.583982453153094,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.9157608767233256}",25,0,-94.43184823286379,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
