trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
776,False,"{'a': 0.01, 'e': 0.37782972735536213}",25,0,-67.19553056618436,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
777,False,"{'a': 0.01, 'e': 0.3761451443475361}",35,18,26.250260657955668,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.01, 'e': 0.3744656378478195}",35,19,19.02996748406047,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.01, 'e': 0.3727912182824893}",25,11,14.205405953431185,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
780,False,"{'a': 0.01, 'e': 0.3711218957440495}",20,7,26.306366921157334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.01, 'e': 0.3694576799939493}",20,0,-24.93828475593337,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
782,False,"{'a': 0.01, 'e': 0.3677985804653001}",20,10,0.7240829188444182,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
783,False,"{'a': 0.01, 'e': 0.3661446062655985}",30,22,15.080266843564655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.01, 'e': 0.36449576617944657}",20,0,8.282549257183192,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
785,False,"{'a': 0.01, 'e': 0.36285206867127606}",20,16,6.934794676189505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.01, 'e': 0.3612135218880712}",25,8,-67.26229661002348,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
787,False,"{'a': 0.01, 'e': 0.3595801336620922}",30,8,-3.666288912498011,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
788,False,"{'a': 0.01, 'e': 0.35795191151359906}",25,3,-23.551656590605116,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
789,False,"{'a': 0.01, 'e': 0.3563288626535722}",20,12,-17.599876264166923,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
790,False,"{'a': 0.01, 'e': 0.3547109939864357}",30,18,24.803485164970212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.01, 'e': 0.35309831211277454}",25,7,15.663711138106402,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
792,False,"{'a': 0.01, 'e': 0.3514908233320533}",25,4,7.451022484693091,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
793,False,"{'a': 0.01, 'e': 0.3498885336453318}",30,11,-19.469989269973908,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
794,False,"{'a': 0.01, 'e': 0.34829144875797624}",30,0,-4.4398274160953015,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
795,False,"{'a': 0.01, 'e': 0.3466995740823703}",30,5,-0.03897616461851605,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",1
796,False,"{'a': 0.01, 'e': 0.3451129147406189}",25,12,-29.937954299039667,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
797,False,"{'a': 0.01, 'e': 0.34353147556725316}",20,8,8.357254827476275,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
798,False,"{'a': 0.01, 'e': 0.34195526111192653}",25,2,22.651325503216846,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
799,False,"{'a': 0.01, 'e': 0.34038427564210916}",25,11,16.037075388540742,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
800,False,"{'a': 0.01, 'e': 0.33881852314577765}",35,9,-82.47206678980787,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 2}",1
801,False,"{'a': 0.01, 'e': 0.33725800733409794}",20,0,6.748592662058182,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
802,False,"{'a': 0.01, 'e': 0.3357027316441047}",25,13,0.709230074946565,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
803,False,"{'a': 0.01, 'e': 0.33415269924137325}",20,0,7.851309642090462,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
804,False,"{'a': 0.01, 'e': 0.3326079130226882}",20,6,-7.905745427327881,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
805,False,"{'a': 0.01, 'e': 0.3310683756187025}",25,6,22.77779898759889,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
806,False,"{'a': 0.01, 'e': 0.329534089396592}",20,8,-43.713883130835946,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
807,False,"{'a': 0.01, 'e': 0.3280050564627037}",25,17,14.501230742503875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.01, 'e': 0.3264812786651943}",20,13,15.1366318477615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.01, 'e': 0.32496275759666504}",30,23,11.926175521381648,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.01, 'e': 0.32344949459678485}",25,2,-19.33884813682291,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
